"Cocunut";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
80020;73;0;"W";"HGH";"RET";"F";192,9054615;2013-01-01;9999-10-01;2016-10-05;517,7019231
80021;39;2;"M";"HGH";"PVE";"F";197,6569231;1997-07-01;2014-08-01;2014-08-07;364,4485385
80022;30;8;"M";"BCR";"PVE";"M";275,6432308;1990-04-06;2010-07-19;2008-08-12;7629,000615
80023;35;0;"S";"MAS";"TEA";"M";615,3882308;1982-03-07;2013-02-01;2016-09-22;7629,000615
80024;46;1;"M";"HGH";"PVE";"M";198,9153846;1992-06-01;2015-03-19;2015-12-24;2268,491692
80025;37;11;"M";"HGH";"PVE";"M";687,2178462;2013-03-15;2009-01-15;2005-10-13;2286,101154
80026;68;5;"M";"BCR";"RET";"F";247,9923077;2005-07-05;9999-10-01;2011-08-30;3951,923077
80027;46;11;"M";"HGH";"STE";"F";302,8073077;2004-06-01;1992-08-17;2006-01-19;2307,692308
80028;61;13;"M";"HGH";"PVE";"M";451,2340769;1982-01-01;1996-04-01;2004-03-04;1423,507769
80029;46;15;"M";"BCR";"STE";"F";602,3863846;2010-01-01;1996-08-01;2002-06-01;7629,000615
80030;26;2;"S";"BCR";"STE";"M";363,1733077;2015-06-25;2014-01-01;2015-06-26;293,138
80031;66;14;"W";"BCR";"RET";"F";247,4984615;1995-03-06;9999-10-01;2002-08-16;3410,509615
80032;61;12;"W";"PRS";"RET";"F";159,1984615;2002-01-01;9999-10-01;2005-02-17;2401,401385
80033;53;13;"M";"HGH";"PVE";"M";373,6153846;1969-04-04;2007-06-18;2004-06-08;356,4973077
80034;44;0;"D";"HGH";"STE";"F";198,2461538;2006-07-01;2014-06-01;2016-09-28;2307,692308
80035;53;12;"M";"BCR";"RET";"F";249,8246154;1995-01-01;9999-10-01;2005-06-24;5562,720615
80036;45;12;"M";"HGH";"STE";"M";463,7756154;1986-09-26;1995-09-26;2005-06-27;2268,491692
80037;47;11;"M";"HGH";"STE";"M";383,1384615;1970-03-18;1999-09-01;2005-09-15;9000
80038;46;11;"D";"HGH";"STE";"F";361,5615385;2003-01-01;2005-10-17;2006-02-01;2268,491692
80039;42;13;"M";"HGH";"PVE";"M";247,9230769;1986-01-01;2003-02-01;2003-09-04;6259,451462
80040;45;8;"M";"BCR";"STE";"F";681,2769231;2010-11-01;1994-02-10;2009-04-21;9484,615385
80041;54;7;"M";"HGH";"STE";"M";255,4769231;1992-01-01;1980-05-01;2009-07-06;1854,811923
80042;67;4;"W";"HGH";"RET";"F";285,7373846;1980-06-01;9999-10-01;2013-05-14;4433,960231
80043;60;11;"M";"HGH";"RET";"F";271,3786923;1981-06-01;9999-10-01;2005-08-01;7124,305231
80044;30;6;"M";"HGH";"STE";"F";267,9463846;2013-01-01;2016-02-08;2010-11-04;5915,849077
80045;63;11;"W";"HGH";"RET";"F";251,6986154;2003-05-07;9999-10-01;2005-07-07;5328,599923
80046;66;12;"M";"HGH";"RET";"F";188,0729231;1951-12-21;9999-10-01;2004-07-22;3609,949846
80047;36;13;"M";"HGH";"PVE";"M";270,4099231;2010-03-15;2014-09-01;2004-03-30;967,6870769
80048;52;11;"M";"HGH";"STE";"F";380,1769231;1976-01-01;1993-01-01;2005-07-25;7692,307692
80049;67;11;"M";"BCR";"RET";"M";377,7878462;1950-06-12;9999-10-01;2005-12-28;1109,256154
80050;39;0;"M";"HGH";"SFE";"M";164,0153846;1978-07-30;2005-06-01;2016-09-05;2288,700154
80051;65;10;"M";"HGH";"RET";"F";230,7092308;1986-01-01;9999-10-01;2006-10-26;5366,711538
80052;31;4;"S";"HGH";"PVE";"M";227,5;1988-06-01;2012-02-01;2013-05-14;0
80053;61;11;"W";"HGH";"STE";"M";255,1153846;1969-12-31;1984-08-13;2006-05-13;364,5911538
80054;48;13;"M";"HGH";"STE";"F";261,5666923;1997-01-18;2012-10-01;2004-04-23;2515,186692
80055;66;0;"M";"HGH";"RET";"M";212,5837692;2015-01-01;9999-10-01;2016-09-21;4979,423077
80056;63;2;"M";"HGH";"RET";"F";1546,268923;1970-11-01;9999-10-01;2014-09-26;6273,721077
80057;36;11;"M";"HGH";"PVE";"M";192,3076923;2011-05-01;2000-10-01;2005-07-30;2307,692308
80058;61;12;"M";"HGH";"RET";"M";331,5022308;1983-01-01;9999-10-01;2004-11-02;5295,576923
80059;41;12;"M";"HGH";"PVE";"M";345,5692308;1976-03-20;2012-01-20;2005-02-25;1188,935769
80060;40;7;"S";"BCR";"PVE";"F";193,452;1977-09-12;2005-02-01;2010-05-04;782,9499231
80061;39;11;"M";"MAS";"STE";"F";453,5538462;2008-11-24;2006-07-17;2005-10-18;964,2692308
80062;46;14;"M";"BCR";"STE";"M";349,2523077;2012-07-01;2015-09-08;2002-09-12;2288,700154
80063;32;0;"S";"HGH";"PVE";"M";170;2003-03-15;9999-10-01;2016-09-30;1638,461538
80064;38;0;"M";"HGH";"PVE";"M";329,5439231;1979-01-27;2014-01-01;2016-09-30;2307,692308
80065;68;3;"M";"HGH";"RET";"F";158,6442308;1980-01-01;9999-10-01;2014-03-20;1738,846154
80066;24;0;"M";"HGH";"PVE";"M";369,2307692;1993-10-25;2013-01-01;2016-09-27;451,5282308
80067;68;8;"W";"SEC";"RET";"F";376,9267692;1981-08-20;9999-10-01;2009-02-23;4742,307692
80068;36;3;"M";"HGH";"STE";"M";390,6025385;1981-03-01;2004-07-01;2014-03-10;435,1597692
80069;39;12;"M";"BCR";"PVE";"M";440,6735385;1978-10-04;2003-07-01;2005-05-10;2288,700154
80070;53;0;"M";"BCR";"PVE";"M";576,9230769;1976-01-01;2003-01-01;2016-09-26;319,8257692
80071;39;2;"M";"HGH";"STE";"F";293,2097692;2005-07-01;2013-07-15;2015-04-22;4574,510538
80072;64;4;"M";"HGH";"RET";"M";154,0866923;1993-04-01;9999-10-01;2012-08-27;304,6513846
80073;29;3;"M";"HGH";"PVE";"F";172,3076923;2014-05-01;2011-12-15;2013-12-09;2307,692308
80074;40;13;"S";"BCR";"PVE";"F";541,93;1977-10-17;2006-08-01;2003-09-18;807,6923077
80075;29;2;"S";"HGH";"PVE";"M";230,7692308;2001-01-01;2015-12-10;2015-04-27;3525,115385
80076;35;7;"M";"HGH";"STE";"M";470,7187692;2006-03-14;2005-04-25;2010-07-01;3316,579077
80077;56;14;"M";"HGH";"PVE";"M";1168,7;2007-01-10;1981-10-26;2003-06-06;3910,877692
80078;41;3;"M";"HGH";"PVE";"F";260,1239231;1976-03-15;2014-08-12;2013-07-09;990,1182308
80079;33;10;"M";"HGH";"PVE";"F";314,3202308;2011-06-01;2008-01-01;2007-04-24;443,5138462
80080;41;2;"M";"HGH";"PVE";"F";257,1769231;2000-01-01;2015-07-01;2015-05-26;4742,307692
80081;34;3;"S";"HGH";"STE";"M";285,4746154;2011-09-01;2013-12-01;2013-12-24;2288,700154
80082;57;0;"W";"HGH";"RET";"M";380,1548462;1960-07-20;9999-10-01;2016-09-28;2307,692308
80083;46;3;"M";"HGH";"PVE";"F";265,1601538;1989-06-10;2010-05-05;2013-10-03;1130,178846
80084;71;5;"M";"HGH";"RET";"F";176,4156923;1948-01-01;9999-10-01;2012-02-21;1478,164154
80085;51;4;"M";"HGH";"PVE";"M";311,6076923;1966-03-22;2003-07-01;2012-07-10;8171,985
80086;33;3;"M";"HGH";"PVE";"F";218,0785385;1989-05-01;2010-11-01;2013-07-27;790,3846154
80087;55;12;"M";"BCR";"SFE";"F";307,6923077;1972-07-20;1996-06-17;2005-04-07;7629,000615
80088;64;3;"S";"BCR";"RET";"F";465,5976923;1979-01-01;9999-10-01;2014-01-03;4201,387308
80089;61;11;"W";"HGH";"RET";"F";250,7244615;2007-01-01;9999-10-01;2005-07-14;5371,453846
80090;36;10;"M";"HGH";"STE";"M";500,5076923;1985-01-01;2005-06-01;2007-03-22;3270,461692
80091;52;4;"M";"HGH";"PVE";"M";180,7692308;2005-01-01;2003-08-01;2013-01-15;2268,491692
80092;32;10;"M";"BCR";"PVE";"M";2589,938462;2012-06-01;2005-09-01;2006-10-19;10680,60092
80093;59;11;"M";"BCR";"PVE";"F";1043,982538;2000-01-01;1983-05-12;2005-10-15;1173,531538
80094;25;2;"S";"BCR";"PVE";"M";308,8615385;1992-09-13;2015-02-09;2015-02-02;948,4615385
80095;68;4;"W";"BCR";"RET";"F";297,8510769;1980-01-01;9999-10-01;2012-11-20;761,6286154
80096;66;13;"D";"BCR";"RET";"M";247,4765385;1962-02-23;9999-10-01;2003-10-16;304,6513846
80097;41;10;"M";"HGH";"STE";"F";275,5384615;1990-01-01;1999-12-13;2006-12-26;6480,643769
80098;56;9;"S";"HGH";"PVE";"F";310,2538462;1999-01-16;2009-04-06;2008-05-19;5650,876
80099;30;2;"S";"BCR";"PVE";"F";176,1538462;2012-04-01;2014-10-02;2014-11-03;2260,865231
80100;30;4;"S";"BCR";"STE";"M";653,4076923;2015-08-01;2016-06-17;2013-01-16;1722,307923
80101;49;12;"M";"BCR";"STE";"F";454,6615385;2000-07-15;1995-10-01;2005-07-04;9149,021154
80102;24;3;"S";"HGH";"STE";"M";370,6769231;1998-11-24;2013-09-11;2013-09-12;2338,527846
80103;43;10;"M";"HGH";"PVE";"F";246,1538462;2008-09-01;9999-10-01;2006-12-30;386,5105385
80104;24;2;"M";"SEC";"PVE";"F";179,0568462;2014-03-01;2016-02-09;2014-07-22;5258,532538
80105;24;0;"S";"HGH";"PVE";"M";296,3769231;2014-12-31;2014-02-01;2016-09-16;7692,307692
80106;37;0;"S";"BCR";"PVE";"M";228,2050769;2015-02-24;2016-03-01;2016-09-26;2268,491692
80107;56;0;"M";"HGH";"RET";"M";381,9333077;1963-01-01;9999-10-01;2016-10-07;2307,692308
80108;55;9;"M";"SEC";"PVE";"F";217,7769231;2008-01-01;9999-10-01;2008-04-08;1650,197
80109;47;2;"W";"HGH";"RET";"F";437,0796923;1970-09-19;9999-10-01;2014-08-18;4615,384615
80110;61;11;"M";"HGH";"STE";"M";257,8538462;2000-05-01;1978-03-01;2005-12-02;2307,692308
80111;55;12;"M";"HGH";"PVE";"M";283,1199231;1986-05-01;2015-09-01;2004-11-04;4615,384615
80112;57;4;"M";"HGH";"STE";"F";342,344;1960-01-26;1985-05-05;2012-08-13;671,5489231
80113;37;9;"M";"HGH";"STE";"M";581,4853846;2009-05-01;2006-05-15;2008-05-09;3076,923077
80114;61;6;"M";"BCR";"PVE";"F";246,0615385;2008-01-01;2002-04-19;2010-11-24;3969,074538
80115;68;5;"M";"HGH";"RET";"M";337,0761538;1983-01-01;9999-10-01;2012-03-13;5366,711538
80116;47;2;"M";"HGH";"STE";"M";274,9497692;1970-11-03;1990-01-29;2014-12-30;4292,430538
80117;57;2;"M";"HGH";"PVE";"F";212,7692308;2010-01-01;2014-02-28;2014-11-05;2307,692308
80118;53;11;"M";"HGH";"STE";"F";299,1569231;1983-09-01;1988-09-23;2005-07-25;2307,692308
80119;40;12;"S";"HGH";"PVE";"M";517,6717692;2006-03-08;2000-07-01;2005-02-21;2475,295538
80120;44;10;"M";"HGH";"PVE";"F";276,9;2000-06-01;2014-05-06;2006-08-30;2493,548385
80121;48;0;"M";"HGH";"SFE";"F";170,9134615;1989-06-24;9999-10-01;2016-09-14;2307,692308
80122;59;11;"M";"HGH";"RET";"F";212,3626923;1986-06-20;9999-10-01;2005-08-08;3106,211538
80123;36;10;"S";"BCR";"STE";"F";487,6945385;2013-01-01;2013-12-16;2006-08-22;4615,384615
80124;61;7;"M";"HGH";"PVE";"M";369,2307692;1956-09-05;9999-10-01;2009-09-25;2307,692308
80125;61;2;"W";"HGH";"STE";"F";262,6040769;1994-01-01;9999-10-01;2014-11-25;480,9760769
80126;33;2;"M";"BCR";"PVE";"M";184,6153846;1995-08-01;2013-02-01;2014-10-30;2307,692308
80127;48;3;"M";"HGH";"PVE";"M";281,657;2008-01-01;2008-04-21;2013-09-17;6134,954615
80128;42;3;"M";"BCR";"STE";"F";354,9653077;2000-06-01;2002-11-01;2013-07-24;2892,192923
80129;57;12;"M";"HGH";"RET";"F";148,3538462;2008-02-10;9999-10-01;2005-06-13;3414,461538
80130;65;11;"D";"HGH";"RET";"F";387,1553077;2005-01-01;9999-10-01;2005-07-12;1975,961538
80131;38;4;"M";"BCR";"PVE";"F";411,2823077;2001-10-07;2015-09-27;2012-11-20;1597,572615
80132;42;8;"M";"BCR";"PVE";"F";397,8445385;2010-08-01;2008-09-22;2008-09-22;2307,692308
80133;23;0;"M";"BCR";"PVE";"F";253,8461538;1994-01-14;2014-02-01;2016-10-08;357,822
80134;57;0;"M";"HGH";"RET";"M";337,6817692;1989-08-09;9999-10-01;2016-10-06;7692,307692
80135;42;12;"D";"BCR";"PVE";"F";647,9;2000-02-01;2007-12-04;2004-09-15;7692,307692
80136;46;12;"M";"HGH";"PVE";"M";391,2538462;1971-12-31;2006-01-01;2005-04-06;3951,923077
80137;59;0;"M";"HGH";"PVE";"M";419,1746154;1958-09-21;1978-05-25;2016-10-06;2307,692308
80138;33;1;"M";"BCR";"PVE";"F";384,6153846;2015-02-01;2014-04-01;2016-01-14;4615,384615
80139;69;11;"M";"HGH";"RET";"F";268,1492308;1978-05-01;9999-10-01;2006-06-28;3161,538462
80140;35;12;"S";"BCR";"TEA";"F";1033,438462;1982-02-28;2014-03-10;2005-05-14;12269,90931
80141;57;9;"M";"HGH";"SFE";"M";307,4802308;1992-05-01;2002-01-01;2007-12-10;952,0064615
80142;61;1;"M";"BCR";"PVE";"M";292,3076923;1980-06-01;1999-06-01;2015-09-29;184,5384615
80143;61;11;"M";"BCR";"STE";"F";374,1588462;1989-01-01;1982-08-20;2005-07-11;2307,692308
80144;58;13;"M";"BCR";"STE";"F";277,6685385;1995-08-01;1989-01-31;2003-09-18;2307,692308
80145;43;1;"M";"HGH";"PVE";"F";287,8923077;1990-03-01;2013-11-26;2016-02-08;0
80146;63;10;"W";"HGH";"RET";"F";211,0810769;2010-01-01;9999-10-01;2007-02-19;5311,384615
80147;25;1;"S";"HGH";"PVE";"M";178,8846154;1992-08-03;2013-02-18;2016-07-01;1533,346154
80148;62;1;"M";"HGH";"STE";"M";239,2066923;1955-09-28;1980-02-01;2016-03-24;2149,276692
80149;42;11;"M";"HGH";"PVE";"F";184,7076923;2006-01-01;2006-09-14;2006-04-19;2307,692308
80150;35;3;"S";"BCR";"STE";"M";410,8461538;1982-11-05;2006-06-01;2014-01-29;316,8438462
80151;34;9;"M";"HGH";"STE";"M";253,2666923;1985-10-27;2010-11-01;2008-05-19;790,3846154
80152;48;9;"M";"HGH";"STE";"M";396,31;2000-10-20;2015-12-04;2007-09-24;4615,384615
80153;38;1;"S";"HGH";"PVE";"M";474,6076923;2011-01-01;2014-05-01;2015-07-13;3846,153846
80154;56;5;"M";"HGH";"PVE";"M";312,2741538;2008-06-20;1983-12-01;2011-10-19;2307,692308
80155;55;5;"W";"HGH";"RET";"F";137,4062308;1999-01-01;9999-10-01;2012-05-08;1119,039231
80156;37;3;"M";"MAS";"PVE";"F";1238,723077;2013-08-08;2010-07-01;2013-07-24;2307,692308
80157;53;8;"M";"HGH";"PVE";"F";273,0769231;1994-12-03;2001-09-01;2009-04-29;846,1538462
80158;40;4;"M";"BCR";"PVE";"M";384,6153846;2002-06-01;2007-02-15;2013-06-26;269,3053846
80159;64;11;"M";"BCR";"RET";"F";218,7169231;1979-09-23;9999-10-01;2005-11-25;987,9807692
80160;69;12;"M";"BCR";"RET";"M";289,3153846;1969-10-01;9999-10-01;2004-08-24;553,2692308
80161;71;11;"M";"HGH";"RET";"M";287,5456923;1960-04-06;9999-10-01;2005-12-26;1185,576923
80162;24;1;"S";"HGH";"PVE";"M";546,7923077;2014-03-14;2016-03-01;2016-03-15;4615,384615
80163;65;10;"M";"HGH";"RET";"M";231,3460769;1952-03-30;9999-10-01;2006-07-21;5366,711538
80164;39;12;"M";"BCR";"PVE";"M";440,6735385;1978-10-04;2003-07-01;2005-05-10;2307,692308
80165;73;2;"D";"HGH";"RET";"F";1098,238462;2012-01-01;9999-10-01;2015-04-20;3951,923077
80166;45;10;"M";"BCR";"PVE";"F";433,3923077;1999-09-25;2002-06-01;2006-07-13;7537,23
80167;33;8;"M";"HGH";"SFE";"F";250,5076923;2014-05-01;2009-05-04;2009-04-27;4609,535
80168;52;12;"M";"BCR";"STE";"F";368,1927692;2005-06-01;2000-01-11;2005-07-04;6560,192308
80169;59;11;"M";"HGH";"RET";"F";207,3426154;2012-03-20;9999-10-01;2005-07-22;3638,011077
80170;65;0;"W";"HGH";"RET";"M";216,806;1990-05-01;9999-10-01;2016-10-06;959,1764615
80171;31;1;"S";"HGH";"PVE";"F";232,1923077;1986-05-22;2005-09-15;2015-07-16;565,158
80172;48;13;"M";"BCR";"PVE";"F";279,4923077;1996-01-01;2013-06-20;2004-01-29;4298,553385
80173;31;4;"S";"HGH";"STE";"F";515,2918462;1995-01-01;2015-02-02;2012-07-30;2307,692308
80174;42;3;"M";"HGH";"PVE";"F";220,0639231;1975-06-19;2012-10-05;2013-11-07;521,0573846
80175;35;4;"M";"BCR";"PVE";"F";231,3615385;1982-06-05;2012-12-01;2012-12-24;2945,338154
80176;50;11;"M";"HGH";"PVE";"M";275,3846154;1967-10-04;1998-11-01;2005-08-10;2307,692308
80177;37;9;"M";"HGH";"PVE";"F";184,6153846;2007-01-27;1999-06-01;2008-04-10;2266,477692
80178;42;6;"M";"HGH";"PVE";"F";160,3023846;1993-05-16;2010-11-01;2010-11-25;971,1610769
80179;24;5;"S";"HGH";"TEA";"M";280,0923077;1993-11-18;2015-05-15;2011-12-22;2307,692308
80180;58;10;"M";"HGH";"RET";"M";287,3876923;1989-11-28;9999-10-01;2006-09-06;795,3071538
80181;52;3;"M";"HGH";"STE";"F";291,5545385;2013-01-01;1999-11-04;2013-11-28;6792,271231
80182;22;2;"S";"HGH";"PVE";"F";192,3076923;2005-01-01;2015-05-01;2015-05-18;1219,789923
80183;46;14;"M";"HGH";"PVE";"M";293,5846154;1971-11-10;2016-02-01;2003-05-19;4630,137923
80184;34;11;"M";"HGH";"STE";"F";349,5307692;2005-01-01;2003-10-01;2006-03-23;2307,692308
80185;58;10;"M";"HGH";"STE";"M";285,9846154;2001-01-01;2015-01-13;2007-05-25;2398,693923
80186;51;11;"M";"BCR";"STE";"F";456,5461538;2011-10-04;2015-08-15;2005-07-11;4153,846154
80187;67;10;"M";"HGH";"RET";"F";230,8886154;1975-10-19;1992-07-10;2007-04-23;790,3846154
80188;70;3;"D";"HGH";"RET";"F";241,8433077;2003-02-01;9999-10-01;2014-04-18;1185,576923
80189;56;0;"M";"HGH";"SFE";"F";180,7692308;2003-05-01;2015-03-01;2016-10-06;2307,692308
80190;49;0;"M";"BCR";"PVE";"M";523,0769231;2016-03-01;2008-10-01;2016-10-07;387,6444615
80191;58;1;"W";"HGH";"RET";"M";285,6426923;1959-08-27;2000-09-27;2015-07-11;2307,692308
80192;64;0;"M";"HGH";"RET";"M";163,5946923;1953-03-26;9999-10-01;2016-10-06;2371,153846
80193;21;1;"S";"HGH";"PVE";"M";315,5323077;1996-09-25;2016-04-01;2015-12-21;2307,692308
80194;34;0;"S";"HGH";"PVE";"M";176,6261538;1983-09-20;2016-03-01;2016-10-06;2307,692308
80195;40;7;"M";"BCR";"STE";"M";549,3903846;2008-05-19;2001-02-01;2009-10-06;692,3076923
80196;58;9;"M";"HGH";"PVE";"F";165,3538462;2010-10-14;2011-07-06;2007-10-03;4469,752615
80197;22;2;"S";"HGH";"PVE";"M";283,5384615;1995-03-22;2015-10-01;2015-05-14;2307,692308
80198;60;8;"M";"BCR";"TEA";"M";505,9092308;1975-01-01;9999-10-01;2008-08-21;123,8461538
80199;33;3;"M";"HGH";"PVE";"M";343,0384615;1984-09-19;2010-04-22;2014-04-29;4615,384615
80200;48;8;"M";"HGH";"STE";"M";183,4674615;1969-04-30;1997-04-07;2008-11-18;5384,615385
80201;49;11;"M";"HGH";"PVE";"F";285,6538462;2002-01-01;1990-11-01;2005-09-26;5784,385769
80202;49;0;"M";"HGH";"STE";"F";315,3846154;1995-01-01;1995-12-06;2016-10-08;289,4336154
80203;36;4;"M";"HGH";"PVE";"M";281,7692308;2010-02-02;2012-09-01;2012-11-26;2974,951923
80204;58;9;"M";"HGH";"RET";"F";286,6975385;1978-10-03;9999-10-01;2007-11-21;4615,384615
80205;67;8;"M";"HGH";"RET";"M";311,7162308;2006-01-01;9999-10-01;2009-01-05;1190,008154
80206;63;11;"M";"HGH";"RET";"F";246,0461538;1990-12-31;9999-10-01;2006-02-03;3319,615385
80207;48;2;"D";"HGH";"STE";"F";276,9230769;1989-03-01;2006-05-01;2014-09-23;285,1515385
80208;55;4;"M";"BCR";"RET";"M";414,4463846;1966-05-01;9999-10-01;2012-11-06;2307,692308
80209;62;5;"W";"HGH";"RET";"F";251,1188462;1975-10-01;1997-08-20;2012-06-02;1776,136077
80210;56;11;"M";"HGH";"PVE";"F";450,2402308;2000-12-04;2016-07-01;2005-12-21;1990,787538
80211;34;7;"M";"HGH";"STE";"F";369,8276923;2005-01-01;2013-09-01;2009-10-29;2307,692308
80212;56;11;"W";"HGH";"STE";"F";360,7811538;1991-12-01;1983-11-01;2005-11-07;7831,340308
80213;61;0;"M";"HGH";"STE";"F";255,3525385;2000-01-01;1982-09-15;2016-10-06;4615,384615
80214;58;2;"D";"HGH";"PVE";"M";246,6461538;2004-07-15;2014-07-01;2015-02-19;2307,692308
80215;60;4;"M";"PRS";"PVE";"M";312,5307692;1964-09-01;1981-09-02;2012-12-07;2307,692308
80216;65;11;"M";"HGH";"RET";"M";199,9613846;1980-03-01;9999-10-01;2005-10-17;716,6835385
80217;39;11;"M";"HGH";"STE";"F";274,5781538;2000-07-01;1998-11-16;2006-02-09;3242,761692
80218;29;1;"M";"BCR";"PVE";"F";253,8461538;2015-01-01;2014-12-01;2015-12-11;171,0769231
80219;45;2;"D";"HGH";"STE";"M";386,9307692;1972-04-02;1997-08-11;2015-05-12;831,1827692
80220;33;3;"M";"HGH";"PVE";"F";525,8615385;2008-08-01;2008-11-01;2014-01-20;212,9007692
80221;49;6;"M";"BCR";"STE";"F";361,6461538;2002-09-01;2004-09-01;2011-02-01;2307,692308
80222;51;11;"M";"HGH";"STE";"F";265,6076923;1989-08-19;2005-06-06;2006-02-14;2307,692308
80223;65;11;"D";"HGH";"RET";"F";213,5630769;1998-06-01;9999-10-01;2005-11-18;4110
80224;26;6;"S";"HGH";"PVE";"M";248,8265385;1991-10-14;2015-04-28;2011-05-06;948,4615385
80225;57;14;"M";"BCR";"RET";"M";326,4569231;1999-12-31;9999-10-01;2002-11-18;7692,307692
80226;54;12;"M";"BCR";"STE";"M";411,1831538;1994-07-01;1995-06-01;2005-05-05;7011,376692
80227;65;10;"W";"HGH";"RET";"F";158,3338462;2001-01-19;9999-10-01;2006-10-26;2703,115385
80228;53;4;"M";"HGH";"PVE";"F";204,3461538;2006-01-30;2012-09-01;2012-11-22;2307,692308
80229;66;2;"W";"HGH";"RET";"F";191,7692308;1992-12-15;9999-10-01;2015-01-27;5097,980769
80230;52;11;"M";"HGH";"PVE";"M";239,5384615;1990-09-04;2008-10-31;2005-09-30;2307,692308
80231;32;9;"M";"HGH";"PVE";"F";297,1461538;2007-01-01;2006-12-09;2007-09-21;7668,693308
80232;67;10;"M";"BCR";"RET";"F";307,8529231;1987-09-01;9999-10-01;2006-12-19;1636,096154
80233;42;6;"M";"HGH";"PVE";"M";258,7997692;2005-07-30;2011-06-01;2010-08-19;2093,393692
80234;41;10;"M";"HGH";"STE";"M";439,5118462;2005-05-01;2009-03-25;2007-01-17;2307,692308
80235;40;9;"M";"BCR";"STE";"M";376,9230769;2014-09-01;1996-09-16;2008-03-03;474,5812308
80236;29;2;"M";"HGH";"STE";"M";343,3461538;1988-07-07;2010-05-04;2015-06-18;7692,307692
80237;62;0;"M";"HGH";"RET";"F";214,2623846;1995-03-01;2001-12-09;2016-09-21;291,3846154
80238;62;10;"M";"BCR";"PVE";"M";192,3076923;2001-09-23;2008-04-01;2006-07-07;1067,019231
80239;49;11;"D";"HGH";"STE";"F";504,055;2016-01-01;2016-07-01;2005-12-29;6654,610385
80240;54;13;"M";"HGH";"PVE";"M";1427,107692;1963-07-22;2001-05-20;2003-07-12;5269,914769
80241;31;4;"M";"BCR";"PVE";"F";400,0205385;2015-01-01;2007-01-27;2012-10-23;153,7692308
80242;39;5;"M";"HGH";"PVE";"F";169,4070769;2000-02-20;2008-11-08;2011-08-25;1650,197
80243;71;4;"W";"BCR";"RET";"F";176,7516923;1953-05-09;9999-10-01;2013-01-22;2884,903846
80244;38;12;"M";"BCR";"SFE";"M";567,8076923;2001-11-26;2011-06-01;2005-05-09;2307,692308
80245;30;1;"M";"MAS";"PVE";"F";452,6310769;2015-01-27;2015-04-01;2016-07-01;7692,307692
80246;36;6;"S";"BCR";"PVE";"M";657,1615385;2014-09-01;2015-09-24;2010-10-19;1580,769231
80247;34;6;"M";"HGH";"PVE";"M";1063,246154;2010-10-10;2012-02-27;2010-10-13;7692,307692
80248;62;11;"W";"HGH";"STE";"M";223,8664615;2013-02-01;2005-11-21;2005-11-23;2446,511385
